"RowID","TYPE","TABLE","AgCROS.VarName","ParameterDescription","Units"
"549","Measurement","MeasBiomassCHO","Mannan g/kg","Mannan, plant tissue, grams per kilogram","g/kg"
"550","Measurement","MeasBiomassCHO","Mannan STD g/kg","Mannan, plant tissue, StdDev, grams per kilogram","g/kg"
"551","Background","FieldSites","MAP mm","Precipitation, annual, mean, millimeters","mm"
"552","Background","FieldSites","MAT degC","Temperature, annual, mean, degrees Celsius","degrees Celsius"
"553","Measurement","MeasSuppRes","Measurement Units","Measured units","none"
"554","Measurement","MeasSuppRes","Measurement Value","Measured value","none"
"555","Measurement","MeasWaterQualityConc","Method",NA,NA
"556","Measurement","MeasWindErosionConc","Method",NA,NA
"557","Measurement","MeasWindErosionArea","Method",NA,NA
"558","Measurement","MeasWindErosionConc","mg Al/kg","mg Al/kg","mg Al/kg"
"559","Measurement","MeasWindErosionConc","mg Al/kg STD","mg Al/kg","mg Al/kg"
"560","Measurement","MeasWindErosionConc","mg Ca/kg","mg Ca/kg","mg Ca/kg"
"561","Measurement","MeasWindErosionConc","mg Ca/kg STD","mg Ca/kg","mg Ca/kg"
"562","Measurement","MeasWaterQualityConc","mg Cl/L","mg Cl/L","mg Cl/L"
"563","Measurement","MeasWaterQualityConc","mg Cl/L STD","mg Cl/L STD","mg Cl/L"
"564","Measurement","MeasBiomassMinAn","Mg Concentration g/kg","Mg Concentration, plant tissue, grams per kilogram","g/kg"
"565","Measurement","MeasBiomassMinAn","Mg Concentration STD g/kg","Mg Concentration, plant tissue, StdDev, grams per kilogram","g/kg"
"566","Measurement","MeasWindErosionConc","mg K/kg","mg K/kg","mg K/kg"
"567","Measurement","MeasWindErosionConc","mg K/kg STD","mg K/kg","mg K/kg"
"568","Measurement","MeasWindErosionConc","mg Mg/kg","mg Mg/kg","mg Mg/kg"
"569","Measurement","MeasWindErosionConc","mg Mg/kg STD","mg Mg/kg","mg Mg/kg"
"570","Measurement","MeasSoilChem","Mg mgMg/kg","Magnesium, soil, milligrams Mg per kilogram soil","mg Mg/kg"
"571","Measurement","MeasWindErosionConc","mg Na/kg","mg Na/kg","mg Na/kg"
"572","Measurement","MeasWindErosionConc","mg Na/kg STD","mg Na/kg","mg Na/kg"
"573","Measurement","MeasWindErosionConc","mg NH4-N/kg","mg NH4-N/kg","mg NH4-N/kg"
"574","Measurement","MeasWindErosionConc","mg NH4-N/kg STD","mg NH4-N/kg","mg NH4-N/kg"
"575","Measurement","MeasWaterQualityConc","mg NH4-N/L","mg NH4-N/L","mg NH4-N/L"
"576","Measurement","MeasWaterQualityConc","mg NH4-N/L STD","mg NH4-N/L STD","mg NH4-N/L"
"577","Measurement","MeasWindErosionConc","mg NO3-N/kg","mg NO3-N/kg","mg NO3-N/kg"
"578","Measurement","MeasWindErosionConc","mg NO3-N/kg STD","mg NO3-N/kg","mg NO3-N/kg"
"579","Measurement","MeasWaterQualityConc","mg NO3-N/L","mg NO3-N/L","mg NO3-N/L"
"580","Measurement","MeasWaterQualityConc","mg NO3-N/L STD","mg NO3-N/L STD","mg NO3-N/L"
"581","Measurement","MeasWindErosionConc","mg P/kg","mg P/kg","mg P/kg"
"582","Measurement","MeasWindErosionConc","mg P/kg STD","mg P/kg","mg P/kg"
"583","Measurement","MeasWindErosionConc","mg S/kg","mg S/kg","mg S/kg"
"584","Measurement","MeasWindErosionConc","mg S/kg STD","mg S/kg","mg S/kg"
"585","Measurement","MeasWindErosionConc","mg Si/kg","mg Si/kg","mg Si/kg"
"586","Measurement","MeasWindErosionConc","mg Si/kg STD","mg Si/kg","mg Si/kg"
"587","Measurement","MeasSoilChem","Mg STD mgMg/kg","Magnesium, soil, StdDev, milligrams Mg per kilogram soil","mg Mg/kg"
"588","Measurement","MeasWaterQualityConc","mg Total Dissolved P/L","mg Total Dissolved P/L","mg Total Dissolved P/L"
"589","Measurement","MeasWaterQualityConc","mg Total Dissolved P/L STD","mg Total Dissolved P/L STD","mg Total Dissolved P/L"
"590","Measurement","MeasWindErosionConc","mg total N/kg","mg N/kg","mg N/kg"
"591","Measurement","MeasWindErosionConc","mg total N/kg STD","mg N/kg","mg N/kg"
"592","Measurement","MeasWaterQualityConc","mg total N/L","mg total N/L","mg total N/L"
"593","Measurement","MeasWaterQualityConc","mg total N/L STD","mg total N/L STD","mg total N/L"
"594","Measurement","MeasWaterQualityConc","mg Total P/L","mg Total P/L","mg Total P/L"
"595","Measurement","MeasWaterQualityConc","mg Total P/L STD","mg Total P/L STD","mg Total P/L"
"596","Measurement","MeasSoilBiol","Microbe Bio C mgC/kg","Microbial biomass carbon, soil, milligrams C per kilogram soil","mg C/kg"
"597","Measurement","MeasSoilBiol","Microbe Bio C STD mgC/kg","Microbial biomass carbon, soil, StdDev, milligrams C per kilogram soil","mg C/kg"
"598","Measurement","MeasSoilBiol","Microbe Bio N mgN/kg","Microbial biomass nitrogen, soil, milligrams N per kilogram soil","mg N/kg"
"599","Measurement","MeasSoilBiol","Microbe Bio N STD mgN/kg","Microbial biomass nitrogen, soil, StdDev, milligrams N per kilogram soil","mg N/kg"
"600","Background","Persons","Middle Name","Middle name","none"
"601","Measurement","MeasSoilChem","Mineral C gC/kg","Mineral associated carbon, soil, mean or single measurement, grams C per kilogram soil","gC/kg"
"602","Measurement","MeasSoilChem","Mineral C STD gC/kg","Mineral associated carbon, soil, StdDev, grams C per kilogram soil","g/kg"
"603","Measurement","MeasBiomassEnergy","Mineral Matter g/kg","Mineral Matter, plant tissue, StdDev, grams per kilogram dry matter","g/kg"
"604","Measurement","MeasSoilChem","Mineralizable N gN/kg","Potentially Mineralizable N, soil, grams N per kilogram soil","g/kg"
"605","Measurement","MeasSoilChem","Mineralizable N STD gN/kg","Potentially Mineralizable N, soil, StdDev, grams N per kilogram soil","g/kg"
"606","Background","FieldSites","MLRA","Major land resource area code","none"
"607","Measurement","MeasBiomassMinAn","Mn Concentration mg/kg","Mn Concentration, plant tissue, milligrams per kilogram","mg/kg"
"608","Measurement","MeasBiomassMinAn","Mn Concentration STD mg/kg","Mn Concentration, plant tissue, StdDev, milligrams per kilogram","mg/kg"
"609","Measurement","MeasSoilChem","Mn mgMN/kg","Manganese, soil, milligrams Mn per kilogram soil","mg Mn/kg"
"610","Measurement","MeasSoilChem","Mn STD mgMN/kg","Manganese, soil, StdDev, milligrams Mn per kilogram soil","mg Mn/kg"
"611","Measurement","MeasSoilPhys","Model if simulated","If the observation is simulated, what model was used?","none"
"612","Measurement","MeasSoilChem","Model if simulated","If the observation is simulated, what model was used?","none"
"613","Measurement","MeasSoilBiol","Model if simulated","If the observation is simulated, what model was used?","none"
"614","Measurement","MeasYieldNutrientUptake","Model if simulated","If the observation is simulated, what model was used?","none"
"615","Measurement","MeasGasNutrientLoss","Model if simulated","Model if simulated","none"
"616","Measurement","MeasWaterQualityConc","Model if simulated","Model if simulated","none"
"617","Measurement","MeasWaterQualityArea","Model if simulated","Model if simulated","none"
"618","Measurement","MeasPlantMonitoring","Model if simulated","Model if simulated","none"
"619","Measurement","MeasCropForageQuality","Model if simulated","Model if simulated","none"
"620","Measurement","MeasCropNutrientCycling","Model if simulated","Model if simulated",NA
"621","Measurement","MeasWindErosionConc","Model if simulated","Model if simulated",NA
"622","Measurement","MeasWindErosionArea","Model if simulated","Model if simulated",NA
"623","Measurement","MeasSoilPhys","Moisture Release Curve","Moisture release curve, soil, was it measured","none"
"624","Measurement","MeasBiomassMinAn","N Concentration g/kg","N Concentration, plant tissue, grams per kilogram","g/kg"
"625","Measurement","MeasBiomassMinAn","N Concentration STD g/kg","N Concentration, plant tissue, StdDev, grams per kilogram","g/kg"
"626","Background","Treatments","N Treatment Descriptor","Nitrogen treatment","none"
"627","Measurement","MeasGasNutrientLoss","N2-N g/ha/day","Denitrified nitrogen gas, grams per hectare per day","g/ha/day"
"628","Measurement","MeasGasNutrientLoss","N2-N STD g/ha/day","Denitrified nitrogen gas, StdDev, grams per hectare per day","g/ha/day"
"629","Measurement","MeasGHGFlux","N2O gN/ha/d","Nitrous oxide, air, daily, mean or single measurement, grams N per hectare","g N/ha/d"
"630","Measurement","MeasGHGFlux","N2O Interp=0 Obs=1","N2O Measurement value type","none"
"631","Measurement","MeasGHGFlux","N2O STD gN/ha/d","Nitrous oxide, air, daily, StdDev, grams N per hectare","g N/ha/d"
"632","Measurement","MeasGasNutrientLoss","N2O-N g/ha/day","Denitrified nitrous oxide, grams per hectare per day","g/ha/day"
"633","Measurement","MeasGasNutrientLoss","N2O-N STD g/ha/day","Denitrified nitrous oxide, StdDev, grams per hectare per day","g/ha/day"
"634","Measurement","MeasBiomassMinAn","Na Concentration g/kg","Na Concentration, plant tissue, grams per kilogram","g/kg"
"635","Measurement","MeasBiomassMinAn","Na Concentration STD g/kg","Na Concentration, plant tissue, StdDev, grams per kilogram","g/kg"
"636","Background","FieldSites","Native Veg","Native vegetation","none"
"637","Measurement","MeasSoilPhys","Near-Infrared C gC/kg","Near Infrared Total carbon, soil, grams C per kilogram soil","g/kg"
"638","Measurement","MeasSoilPhys","Near-Infrared C STD gC/kg","Near Infrared Total carbon, soil, StdDev, grams C per kilogram soil","g/kg"
"639","Measurement","MeasBiomassCHO","Neutral Det Fiber g/kg","Neutral Detergent Fiber, plant tissue, grams per kilogram","g/kg"
"640","Measurement","MeasBiomassCHO","Neutral Det Fiber STD g/kg","Neutral Detergent Fiber, plant tissue, StdDev, grams per kilogram","g/kg"
"641","Measurement","MeasGasNutrientLoss","NH3-N kg/ha/day","Ammonia volatilization ammonia, kilogram per hectare per day","kg/ha/day"
"642","Measurement","MeasGasNutrientLoss","NH3-N STD kg/ha/day","Ammonia volatilization ammonia, StdDev, kilogram per hectare per day","kg/ha/day"
"643","Measurement","MeasSoilChem","NH4 mgN/kg","Ammonium, soil, milligrams of N per kilogram soil","mg N/kg"
"644","Measurement","MeasSoilChem","NH4 STD mgN/kg","Ammonium, soil, StdDev, milligrams of N per kilogram soil","mg N/kg"
"645","Measurement","MeasSoilChem","Nitrite mgN/kg","Nitrite, soil, milligrams per kilogram soil","mg/kg"
"646","Measurement","MeasSoilChem","Nitrite STD mgN/kg","Nitrite, soil, StdDev, milligrams per kilogram soil","mg/kg"
"647","Measurement","MeasNutrEff","Nitrogen Use Efficiency %","Nitrogen use efficiency, percent","percent"
"648","Measurement","MeasNutrEff","Nitrogen15 Use Efficiency kgN/ha","Nitrogen 15 use efficiency, kilogram nitrogen per hectare","kg N/ha"
"649","Measurement","MeasSoilChem","NO3 mgN/kg","Nitrate, soil, milligrams of N per kilogram soil","mg N/kg"
"650","Measurement","MeasSoilChem","NO3 STD mgN/kg","Nitrate, soil, StdDev, milligrams of N per kilogram soil","mg N/kg"
"651","Measurement","MeasBiomassCHO","Non-fiber Carbs g/kg","Non-fiber Carbohydrates, plant tissue, grams per kilogram","g/kg"
"652","Measurement","MeasBiomassCHO","Non-fiber Carbs STD g/kg","Non-fiber Carbohydrates, plant tissue, StdDev, grams per kilogram","g/kg"
"653","Measurement","MeasResidueMgnt","NonHarv NonGrain Bio kg/ha","Crop residue, non harvested aboveground, plant tissue, mean or single measurement, kilograms per hectare","kg biomass/ha"
"654","Measurement","MeasCropNutrientCycling","NonHarv NonGrain Bio kg/ha",NA,"kg/ha"
"655","Measurement","MeasResidueMgnt","NonHarv NonGrain Bio STD kg/ha","Crop residue, aboveground, plant tissue, StdDev, kilograms per hectare","kg biomass/ha"
"656","Measurement","MeasCropNutrientCycling","nonHarv Res B gB/ha",NA,"gB/ha"
"657","Measurement","MeasCropNutrientCycling","nonHarv Res B STD",NA,"gB/ha"
"658","Measurement","MeasResidueMgnt","NonHarv Res C kgC/ha","Carbon, non harvested crop residue, plant tissue, mean or single measurement, kilograms of carbon per hectare","kg C/ha"
"659","Measurement","MeasCropNutrientCycling","NonHarv Res C kgC/ha",NA,"kgC/ha"
"660","Measurement","MeasCropNutrientCycling","nonHarv Res C STD",NA,"kgC/ha"
"661","Measurement","MeasResidueMgnt","NonHarv Res C STD kgC/ha","Carbon, crop residue, plant tissue, StdDev, kilograms of carbon per hectare","kg C/ha"
"662","Measurement","MeasCropNutrientCycling","nonHarv Res Ca kgCa/ha",NA,"kgCa/ha"
"663","Measurement","MeasCropNutrientCycling","nonHarv Res Ca STD",NA,"kgCa/ha"
"664","Measurement","MeasCropNutrientCycling","nonHarv Res Cu gCu/ha",NA,"gCu/ha"
"665","Measurement","MeasCropNutrientCycling","nonHarv Res Cu STD",NA,"gCu/ha"
"666","Measurement","MeasCropNutrientCycling","nonHarv Res DryMatter STD",NA,"kg/ha"
"667","Measurement","MeasCropNutrientCycling","nonHarv Res Fe gFe/ha",NA,"gFe/ha"
"668","Measurement","MeasCropNutrientCycling","nonHarv Res Fe STD",NA,"gFe/ha"
"669","Measurement","MeasCropNutrientCycling","nonHarv Res K kgK/ha",NA,"kgK/ha"
"670","Measurement","MeasCropNutrientCycling","nonHarv Res K STD",NA,"kgK/ha"
"671","Measurement","MeasCropNutrientCycling","nonHarv Res Mg kgMg/ha",NA,"kgMg/ha"
"672","Measurement","MeasCropNutrientCycling","nonHarv Res Mg STD",NA,"kgMg/ha"
"673","Measurement","MeasCropNutrientCycling","nonHarv Res Mn gMn/ha",NA,"gMn/ha"
"674","Measurement","MeasCropNutrientCycling","nonHarv Res Mn STD",NA,"gMn/ha"
"675","Measurement","MeasCropNutrientCycling","nonHarv Res Mo gMo/ha",NA,"gMo/ha"
"676","Measurement","MeasCropNutrientCycling","nonHarv Res Mo STD",NA,"gMo/ha"
"677","Measurement","MeasResidueMgnt","NonHarv Res Moist %","Crop residue moisture content, plant tissue, mean or single measurement, percent","%"
"678","Measurement","MeasCropNutrientCycling","NonHarv Res Moist %",NA,"%"
"679","Measurement","MeasResidueMgnt","NonHarv Res Moist STD %","Crop residue moisture content, plant tissue, StdDev, percent","%"
"680","Measurement","MeasCropNutrientCycling","nonHarv Res MoisturePct STD",NA,"%"
"681","Measurement","MeasResidueMgnt","NonHarv Res N kgN/ha","Nitrogen, non harvested crop residue, plant tissue, mean or single measurement, kilograms of nitrogen per hectare","kg N/ha"
"682","Measurement","MeasCropNutrientCycling","NonHarv Res N kgN/ha",NA,"kgN/ha"
"683","Measurement","MeasCropNutrientCycling","nonHarv Res N STD",NA,"kgN/ha"
"684","Measurement","MeasResidueMgnt","NonHarv Res N STD kgN/ha","Nitrogen, crop residue, plant tissue, StdDev, kilograms of nitrogen per hectare","kg N/ha"
"685","Measurement","MeasCropNutrientCycling","nonHarv Res P kgP/ha",NA,"kgP/ha"
"686","Measurement","MeasCropNutrientCycling","nonHarv Res P STD",NA,"kgP/ha"
"687","Measurement","MeasCropNutrientCycling","nonHarv Res S kgS/ha",NA,"kgS/ha"
"688","Measurement","MeasCropNutrientCycling","nonHarv Res S STD",NA,"kgS/ha"
"689","Measurement","MeasCropNutrientCycling","nonHarv Res Zn gZn/ha",NA,"gZn/ha"
"690","Measurement","MeasCropNutrientCycling","nonHarv Res Zn STD",NA,"gZn/ha"
"691","Background","Persons","Note","Notes","none"
"692","Measurement","MeasGasNutrientLoss","NOx-N g/ha/day","Greenhouse gas NOx gas, grams per hectare per day","g/ha/day"
"693","Measurement","MeasGasNutrientLoss","NOx-N STD g/ha/day","Greenhouse gas NOx gas, StdDev, grams per hectare per day","g/ha/day"
"694","Measurement","MeasNutrEff","Nutrient efficiency ratio kg/kg","Nutrient efficiency ratio, kilogram per kilogram","kg/kg"
"695","Characterization","WeatherDaily","Open Pan Evap mm/d","Evaporation, open pan, no media, daily, millimeters","mm/d"
"696","Background","Treatments","Operation","Type of Animal Operation","none"
"697","Measurement","MeasSoilChem","Organic C gC/kg","Organic soil carbon, soil, mean or single measurement, grams C per kilogram soil","gC/kg"
"698","Background","Treatments","Organic Management","Organic Management","none"
"699","Measurement","MeasSoilChem","Organic STD gC/kg","Soil particulate carbon, soil, StdDev, grams C per kilogram soil","g/kg"
"700","Background","Persons","Organization","Organization","none"
"701","Management","MgtGrazing","Other Events","Other grazing events, operations","none"
"702","Measurement","MeasBiomassMinAn","P Concentration g/kg","P Concentration, plant tissue, grams per kilogram","g/kg"
"703","Measurement","MeasBiomassMinAn","P Concentration STD g/kg","P Concentration, plant tissue, StdDev, grams per kilogram","g/kg"
"704","Measurement","MeasSoilChem","P mgP/kg","Phosphorus, soil, milligrams P per kilogram soil","mg P/kg"
"705","Measurement","MeasSoilChem","P STD mgP/kg","Phosphorus, soil, StdDev, milligrams P per kilogram soil","mg P/kg"
"706","Management","MgtAmendments","Pest Placement","Pesticide placement","none"
"707","Management","MgtAmendments","Pest Target","Pesticide target","none"
"708","Measurement","MeasSoilChem","pH","pH, soil, no units","no units"
"709","Measurement","MeasWaterQualityConc","pH","pH",NA
"710","Measurement","MeasWaterQualityArea","pH","pH",NA
"711","Measurement","MeasWindErosionConc","pH",NA,NA
"712","Measurement","MeasWindErosionArea","pH",NA,NA
"713","Measurement","MeasSoilChem","pH STD","pH, soil, StdDev, no units","no units"
"714","Measurement","MeasWaterQualityConc","pH STD","pH STD",NA
"715","Measurement","MeasWaterQualityArea","pH STD","pH STD",NA
"716","Measurement","MeasWindErosionConc","pH STD",NA,NA
"717","Measurement","MeasWindErosionArea","pH STD",NA,NA
"718","Measurement","MeasHarvestFraction","Plant Fraction","Plant fraction","none"
"719","Measurement","MeasBiomassCHO","Plant Fraction","Plant fraction","none"
"720","Measurement","MeasBiomassEnergy","Plant Fraction","Plant fraction","none"
"721","Measurement","MeasBiomassMinAn","Plant Fraction","Plant fraction","none"
"722","Measurement","MeasYieldNutrientUptake","Plant Fraction","Plant fraction","none"
"723","Measurement","MeasCropForageQuality","Plant Fraction","Plant fraction","none"
"724","Management","MgtPlanting","Planting Density kg/ha","Plant density, operations, kilograms per hectare","kg/ha"
"725","Management","MgtPlanting","Planting Depth cm","Plant depth, operations, soil, centimeters","cm"
"726","Management","MgtPlanting","Planting Method","Plant method, operations","none"
"727","Management","MgtPlanting","Planting Rate #seeds/ha","Plant rate, operations, number of seeds/seedlings per hectare","# of seeds/ha"
"728","Measurement","MeasSoilBiol","PLFA","Phospholipid Fatty Acids, soil, were they measured","none"
"729","Measurement","MeasSoilBiol","POM gC/kg","Particulate organic matter, soil, mean or single measurement, grams C per kilogram soil","g C/kg"
"730","Measurement","MeasSoilBiol","POM STD gC/kg","Particulate organic matter, soil, StdDev, grams C per kilogram soil","g C/kg"
"731","Background","FieldSites","Postal Code","Postal Code","none"
"732","Characterization","WeatherDaily","Precip mm/d","Precipitation, total, no media, daily, millimeters","mm/d"
"733","Measurement","MeasARGenes","Presence or Absence of Target",NA,NA
"734","Background","Persons","Primary Contact","Contact","none"
"735","Background","Persons","Profession","Profession","none"
"736","Background","Treatments","Project Scenario","Project scenario","none"
"737","Comments","AllCellComments","Reporting Person Name","Person reporting","none"
"738","Background","Overview","Research Unit","Unit location","none"
"739","Background","Treatments","Residue Removal","Residue Removal","none"
"740","Characterization","WeatherDaily","RH %","Relative humidity, air, daily, mean, percent","%"
"741","Background","Persons","Role in Study","Role","none"
"742","Measurement","MeasResidueMgnt","Root C kgC/ha","Carbon, crop root, plant tissue, mean or single measurement, kilograms of carbon per hectare","kg C/ha"
"743","Measurement","MeasResidueMgnt","Root C STD kgC/ha","Carbon, crop root, plant tissue, StdDev, kilograms of carbon per hectare","kg C/ha"
"744","Measurement","MeasResidueMgnt","Root Dry Matt kg/ha","Crop root, biomass, plant tissue, mean or single measurement, kilograms per hectare","kg biomass/ha"
"745","Measurement","MeasResidueMgnt","Root Dry Matt STD kg/ha","Crop root, biomass, plant tissue, StdDev, kilograms per hectare","kg biomass/ha"
"746","Measurement","MeasResidueMgnt","Root Moist %","Crop root, moisture content, mean or single measurement, plant tissue, percent","%"
"747","Measurement","MeasResidueMgnt","Root Moist STD %","Crop root, moisture content, StdDev, plant tissue, percent","%"
"748","Measurement","MeasResidueMgnt","Root N kgN/ha","Nitrogen, crop root, plant tissue, mean or single measurement, kilograms of nitrogen per hectare","kg N/ha"
"749","Measurement","MeasResidueMgnt","Root N STD kgN/ha","Nitrogen, crop root, plant tissue, StdDev, kilograms of nitrogen per hectare","kg N/ha"
"750","Background","Treatments","Rotation Descriptor","Crop rotation","none"
"751","Management","MgtPlanting","Row Width cm","Row width, soil, operations, centimeters","cm"
"752","Management","MgtResidue","Rows Harvested %","Rows harvested, percent","%"
"753","Measurement","MeasBiomassMinAn","S Concentration g/kg","S Concentration, plant tissue, grams per kilogram","g/kg"
"754","Measurement","MeasBiomassMinAn","S Concentration STD g/kg","S Concentration, plant tissue, StdDev, grams per kilogram","g/kg"
"755","Measurement","MeasPlantMonitoring","Sample Depth Lower cm","cm","cm"
"756","Measurement","MeasPlantMonitoring","Sample Depth Upper cm","cm","cm"
"757","Measurement","MeasARGenes","Sample Details",NA,NA
"758","Measurement","MeasARGenes","Sample Type",NA,NA
"759","Measurement","MeasHarvestFraction","Sampling Date","Date","mm/dd/yyyy"
"760","Measurement","MeasYieldNutrientUptake","Sampling Date","Date","mm/dd/yyyy"
"761","Measurement","MeasSuppRes","Sampling Date","Date","mm/dd/yyyy"
"762","Measurement","MeasWaterQualityConc","Sampling Depth cm","If the data is for a leaching event, at what sampling depth was the data observed or simulated?","cm"
"763","Measurement","MeasWaterQualityArea","Sampling Depth cm","If the data is for a leaching event, at what sampling depth was the data observed or simulated?","cm"
"764","Measurement","MeasGasNutrientLoss","Sampling Start-Stop Interval","Date Time Status","none"
"765","Measurement","MeasWaterQualityConc","Sampling Start-Stop Interval","Date Time Status","none"
"766","Measurement","MeasWaterQualityArea","Sampling Start-Stop Interval","Date Time Status","none"
"767","Measurement","MeasWindErosionConc","Sampling Start-Stop Interval","Date Time Status","none"
"768","Measurement","MeasWindErosionArea","Sampling Start-Stop Interval","Date Time Status","none"
"769","Measurement","MeasSoilPhys","Sand %","Sand, soil, percent","%"
"770","Comments","AllCellComments","Sheet Name","Sheet name","none"
"771","Measurement","MeasSoilPhys","Silt %","Silt, soil, percent","%"
"772","Background","FieldSites","Site History","Site history","none"
"773","Background","Overview","Site ID","Site identifier","none"
"774","Background","FieldSites","Site ID","Site identifier","none"
"775","Background","Persons","Site ID","Site identifier","none"
"776","Background","Citations","Site ID","Site identifier","none"
"777","Characterization","WeatherStation","Site ID","Site identifier","none"
"778","Characterization","WeatherDaily","Site ID","Site identifier","none"
"779","Comments","AllCellComments","Site ID","Site identifier","none"
"780","Background","Overview","Site ID Descriptor","Site description","none"
"781","Background","ExperUnits","Slope %","Slope, percent","percent"
"782","Characterization","WeatherDaily","Snow mm/d","Precipitation, snow, no media, daily, millimeters","mm/d"
"783","Background","ExperUnits","Soil Classification","Classification","none"
"784","Measurement","MeasSoilPhys","Soil Heat Flux MJ/m2","Soil heat flux, soil, megajoules per square meter","MJ/m2"
"785","Measurement","MeasSoilPhys","Soil Heat Flux STD MJ/m2","Soil heat flux, soil, StdDev, megajoules per square meter","MJ/m2"
"786","Measurement","MeasGHGFlux","Soil Moisture % vol","Soil moisture, soil, mean or single measurement, percent volume","% vol (cu cm H2O/cu cm soil*100)"
"787","Measurement","MeasGHGFlux","Soil Moisture Depth cm","Depth of soil moisture sample, soil, centimeters","cm"
"788","Measurement","MeasGHGFlux","Soil Moisture STD % vol","Soil moisture, soil, StdDev, percent volume","% vol (cu cm H2O/cu cm soil*100)"
"789","Measurement","MeasWaterQualityArea","Soil organic carbon kg C/ha","Soil organic carbon kg C/ha","kg C/ha"
"790","Measurement","MeasWindErosionArea","Soil organic carbon kg C/ha","Soil organic carbon kg C/ha","kg C/ha"
"791","Measurement","MeasWaterQualityArea","Soil organic carbon kg C/ha STD","Soil organic carbon kg C/ha STD","kg C/ha"
"792","Measurement","MeasWindErosionArea","Soil organic carbon kg C/ha STD","Soil organic carbon kg C/ha","kg C/ha"
"793","Measurement","MeasWindErosionConc","Soil organic carbon mg C/kg","mg C/kg","mg C/kg"
"794","Measurement","MeasWindErosionConc","Soil organic carbon mg C/kg STD","mg C/kg","mg C/kg"
"795","Measurement","MeasWaterQualityConc","Soil organic carbon mg C/L","Soil organic carbon mg C/L","mg C/L"
"796","Measurement","MeasWaterQualityConc","Soil organic carbon mg C/L STD","Soil organic carbon mg C/L STD","mg C/L"
"797","Measurement","MeasWaterQualityArea","Soil organic matter kg/ha","Soil organic matter kg/ha","kg/ha"
"798","Measurement","MeasWindErosionArea","Soil organic matter kg/ha","Soil organic matter kg/ha","kg/ha"
"799","Measurement","MeasWaterQualityArea","Soil organic matter kg/ha STD","Soil organic matter kg/ha STD","kg/ha"
"800","Measurement","MeasWindErosionArea","Soil organic matter kg/ha STD","Soil organic matter kg/ha","kg/ha"
"801","Measurement","MeasWindErosionConc","Soil organic matter mg SOM/kg","mg SOM/kg","mg SOM/kg"
"802","Measurement","MeasWindErosionConc","Soil organic matter mg SOM/kg STD","mg SOM/kg","mg SOM/kg"
"803","Measurement","MeasWaterQualityConc","Soil organic matter mg SOM/L","Soil organic matter mg SOM/L","mg SOM/L"
"804","Measurement","MeasWaterQualityConc","Soil organic matter mg SOM/L STD","Soil organic matter mg SOM/L STD","mg SOM/L"
"805","Background","ExperUnits","Soil Series","Soil series","none"
"806","Measurement","MeasWindErosionConc","Soil t","t","t"
"807","Measurement","MeasWindErosionConc","Soil t STD ","t","t"
"808","Measurement","MeasWindErosionArea","Soil t/ha","t/ha","t/ha"
"809","Measurement","MeasWindErosionArea","Soil t/ha STD","t/ha","t/ha"
"810","Characterization","WeatherDaily","Soil Temp 10cm degC","Temperature, soil, daily, 10cm, mean, degrees Celsius","degrees Celsius"
"811","Characterization","WeatherDaily","Soil Temp 5cm degC","Temperature, soil, daily, 5cm, mean, degrees Celsius","degrees Celsius"
"812","Measurement","MeasGHGFlux","Soil Temp degC","Temperature, soil, sample period, mean or single measurement, degrees Celsius","degrees Celsius"
"813","Measurement","MeasGHGFlux","Soil Temp STD degC","Temperature, soil, StdDev, degrees Celsius","degrees Celsius"
"814","Measurement","MeasSoilCover","Soil w/Residue %","Residue cover, soil, percent","%"
"815","Characterization","WeatherDaily","Solar Radiation Bare MJ/m2/d","Solar radiation, bare ground, no media, daily, total, megajoules per square meter","MJ/m2/d"
"816","Characterization","WeatherDaily","Solar Radiation Veg MJ/m2/d","Solar radiation, vegetated ground, no media, daily, total, megajoules per square meter","MJ/m2/d"
"817","Measurement","MeasSoilChem","Soluble C mgC/kg","Soluble organic carbon, soil, milligrams C per kilogram soil","mg C/kg"
"818","Measurement","MeasSoilChem","Soluble C STD mgC/kg","Soluble organic carbon, soil, StdDev, milligrams C per kilogram soil","mg C/kg"
"819","Background","FieldSites","Spatial Description","Spatial Description","none"
"820","Measurement","MeasGrazingPlants","Species Mix","Species composition","none"
"821","Management","MgtResidue","Stage at Harvest","Stage at harvest","none"
"822","Management","MgtResidue","Stand Age years","Age at harvest, plant, year","years"
"823","Measurement","MeasGrazingPlants","Standing Dead kg/ha (dry)","Biomass, aboveground dead, plant tissue, mean or single measurement, kilograms per hectare","kg/ha (dryweight)"
"824","Measurement","MeasGrazingPlants","Standing Dead STD kg/ha (dry)","Biomass, aboveground dead, plant tissue, StdDev, kilograms per hectare","kg/ha (dryweight)"
"825","Background","Overview","Start Date","Start date","mm/dd/yyyy"
"826","Background","Treatments","Start Date","Date","mm/dd/yyyy"
"827","Background","ExperUnits","Start Date","Start date","mm/dd/yyyy"
"828","Management","MgtGrazing","Start Date","Start date","mm/dd/yyyy"
"829","Background","FieldSites","State/Province","State or Province","none"
"830","Management","MgtGrazing","Stocking Rate #animals/ha","Stocking rate, operations, number of animals per hectare","# of animals/ha"
"831","Background","Persons","Suffix","Suffix","none"
